collected_at_jst,published_at,region,country,topic,article_frame,innovation_policy,policy_area,policy_relevance,source_type,source,title,title_ja,summary,summary_ja,url,canonical_id,first_seen,status,notes,scope_review_version,scope_reason,scope_content_type,scope_focus,scope_evidence,academic_kind,academic_review_version,review_status,venue,doi,citation_count,discovery_method,collection_mode
2026-07-26T22:54:37+09:00,2026-07-26T13:54:37Z,Asia,Japan,,Innovation Policy,True,Patents & Intellectual Property,5,Government,Japan IP Strategy Headquarters,「知的財産推進計画2026」の策定に向けた意見募集の結果,「知的財産推進計画2026」の策定に向けた意見募集の結果,「知的財産推進計画2026」の策定に向けた意見募集の結果 について,「知的財産推進計画2026」の策定に向けた意見募集の結果 について,https://www.cas.go.jp/jp/seisakukaigi/titeki2/chitekizaisan2026/index.html,02a4a6f598b7c4ec89c45f37,2026-07-26T22:54:37+09:00,New,,,,,,,News & Official Release,,,,,0,link_list,Daily
2026-07-26T22:54:37+09:00,2026-07-26T13:54:37Z,Asia,Japan,,Innovation Policy,True,Patents & Intellectual Property,5,Government,Japan IP Strategy Headquarters,「知的財産推進計画2026」の策定に向けた意見募集,「知的財産推進計画2026」の策定に向けた意見募集,「知的財産推進計画2026」の策定に向けた意見募集 について,「知的財産推進計画2026」の策定に向けた意見募集 について,https://www.cas.go.jp/jp/seisakukaigi/titeki2/pdf/20251201_ikenboshu.pdf,bccfd808795e5e6ce1c5f4fb,2026-07-26T22:54:37+09:00,New,,,,,,,News & Official Release,,,,,0,link_list,Daily
2026-07-26T22:54:37+09:00,2026-07-26T13:54:37Z,Asia,Japan,,Innovation Policy,True,Patents & Intellectual Property,5,Government,Japan IP Strategy Headquarters,「知的財産推進計画2025」の策定に向けた意見募集の結果,「知的財産推進計画2025」の策定に向けた意見募集の結果,「知的財産推進計画2025」の策定に向けた意見募集の結果 について,「知的財産推進計画2025」の策定に向けた意見募集の結果 について,https://www.cas.go.jp/jp/seisakukaigi/titeki2/chitekizaisan2025/index.html,a4b493c4eecc1ca80d72e8b7,2026-07-26T22:54:37+09:00,New,,,,,,,News & Official Release,,,,,0,link_list,Daily
2026-07-26T22:54:37+09:00,2026-07-26T13:54:37Z,Asia,Japan,,Innovation Policy,True,Patents & Intellectual Property,5,Government,Japan IP Strategy Headquarters,「知的財産推進計画2025」の策定に向けた意見募集（PDF／208KB）,「知的財産推進計画2025」の策定に向けた意見募集（PDF／208KB）,「知的財産推進計画2025」の策定に向けた意見募集（PDF／208KB） について,「知的財産推進計画2025」の策定に向けた意見募集（PDF／208KB） について,https://www.cas.go.jp/jp/seisakukaigi/titeki2/chitekizaisan2025/iken_boshu2025.pdf,98af9114eb065e871a69941c,2026-07-26T22:54:37+09:00,New,,,,,,,News & Official Release,,,,,0,link_list,Daily
2026-07-26T22:54:37+09:00,2026-07-26T13:54:37Z,Asia,Japan,,Innovation Policy,True,Patents & Intellectual Property,5,Government,Japan IP Strategy Headquarters,「知的財産推進計画2024」の策定に向けた意見募集の結果,「知的財産推進計画2024」の策定に向けた意見募集の結果,「知的財産推進計画2024」の策定に向けた意見募集の結果 について,「知的財産推進計画2024」の策定に向けた意見募集の結果 について,https://www.cas.go.jp/jp/seisakukaigi/titeki2/chitekizaisan2024/index.html,2f4426601962afd2610219dc,2026-07-26T22:54:37+09:00,New,,,,,,,News & Official Release,,,,,0,link_list,Daily
2026-07-26T22:54:37+09:00,2026-07-26T13:54:37Z,Asia,Japan,,Innovation Policy,True,Patents & Intellectual Property,5,Government,Japan IP Strategy Headquarters,「知的財産推進計画2024」の策定に向けた意見募集」について（PDF／213KB）,「知的財産推進計画2024」の策定に向けた意見募集」について（PDF／213KB）,「知的財産推進計画2024」の策定に向けた意見募集」について（PDF／213KB）,「知的財産推進計画2024」の策定に向けた意見募集」について（PDF／213KB）,https://www.cas.go.jp/jp/seisakukaigi/titeki2/chitekizaisan2024/iken_boshu2024.pdf,e352f41b985f774ad33c6514,2026-07-26T22:54:37+09:00,New,,,,,,,News & Official Release,,,,,0,link_list,Daily
2026-07-26T22:54:37+09:00,2026-07-26T13:54:37Z,Asia,Japan,,Innovation Policy,True,Patents & Intellectual Property,5,Government,Japan IP Strategy Headquarters,「知的財産推進計画2023」の策定に向けた意見募集の結果,「知的財産推進計画2023」の策定に向けた意見募集の結果,「知的財産推進計画2023」の策定に向けた意見募集の結果 について,「知的財産推進計画2023」の策定に向けた意見募集の結果 について,https://www.cas.go.jp/jp/seisakukaigi/titeki2/chitekizaisan2023/iken.html,89f3ebf63ba29fb391a585f8,2026-07-26T22:54:37+09:00,New,,,,,,,News & Official Release,,,,,0,link_list,Daily
2026-07-26T22:54:37+09:00,2026-07-26T13:00:14Z,United States,United Kingdom,Artificial Intelligence,Technology Innovation,False,,0,Major Media,The Guardian Technology,Why does everything feel so joyless? Welcome to the age of decadence without pleasure | Michèle Mendelssohn and Charlie Tyson,,"Decadence in our era comes in technologically mediated forms, emptied of desire and obsessed with self-optimisation Do you want to have a good time? You know, really enjoy yourself? Click here, and tell us your desires. Maybe it’s a new outfit, or some exotic cuisine delivered anonymously and steaming hot to your door. Maybe it’s porn or gambling. Perhaps you prefer the infinite scroll, the endlessly unfurling ribbon of glossy images and videos starring people you’ll never meet doing things you’ll never do. Or maybe you favor talking to a chatbot who will assure you that you are the most special of all its users. For anyone with an Internet connection and a little discretionary income, the…",,https://www.theguardian.com/us-news/ng-interactive/2026/jul/26/age-of-decadence-pleasure-ai,06896f4f258638731c07df61,2026-07-26T22:54:37+09:00,Excluded,,tech-innovation-v5,技術や政策に関する具体的な内容が確認できないため,none,,,News & Official Release,,,,,0,feed,Daily
2026-07-26T21:45:54+09:00,2026-07-26T12:45:54Z,Global,Global,,Innovation Policy,True,Patents & Intellectual Property | National Programs & Strategy,5,Intergovernmental,WIPO News,"GenAI Innovation Soaring, With Patent Activity Nearly Tripling in Two Years",,"GenAI Innovation Soaring, With Patent Activity Nearly Tripling in Two Years (PR/2026/957)",,https://www.wipo.int/pressroom/en/articles/2026/article_0012.html,bd54accc4a03b8cfa2be6cd2,2026-07-26T21:45:54+09:00,Excluded,,tech-innovation-v5,特許活動の増加を扱っているが、具体的な技術や研究開発内容が示されていないため。,none,,特許活動が急増しているという情報のみ。,News & Official Release,,,,,0,link_list,Daily
2026-07-26T21:45:54+09:00,2026-07-26T12:45:54Z,Global,Global,,Innovation Policy,True,Patents & Intellectual Property | National Programs & Strategy,5,Intergovernmental,WIPO News,WIPO 2026 Global Awards Winners: Eleven Companies Recognized for Using IP to Build and Scale Their Businesses,,WIPO 2026 Global Awards Winners: Eleven Companies Recognized for Using IP to Build and Scale Their Businesses (PR/2026/956),,https://www.wipo.int/pressroom/en/articles/2026/article_0010.html,205afc480696f385eafd722e,2026-07-26T21:45:54+09:00,Excluded,,tech-innovation-v5,特許を利用したビジネスの拡大を扱っているが、具体的な技術や研究開発内容が示されていないため。,none,,特許を利用した企業の受賞についての情報のみ。,News & Official Release,,,,,0,link_list,Daily
